2018/10/03 19:06:26 [info] 993#993: *284 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:07:09 [info] 993#993: *289 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:07:20 [info] 993#993: *298 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:11:29 [info] 993#993: *308 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:11:50 [info] 993#993: *320 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:12:30 [info] 993#993: *331 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:13:03 [info] 993#993: *336 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:13:58 [info] 993#993: *341 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:22:48 [info] 993#993: *345 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:23:47 [info] 993#993: *348 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:31:19 [info] 993#993: *351 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:31:30 [info] 993#993: *353 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:32:31 [info] 993#993: *355 client timed out (110: Connection timed out) while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:33:13 [info] 993#993: *358 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:35:01 [info] 993#993: *360 client timed out (110: Connection timed out) while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:36:34 [info] 991#991: *363 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:47:10 [info] 991#991: *366 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:51:45 [info] 991#991: *371 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:53:13 [info] 991#991: *374 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:53:48 [info] 991#991: *376 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:54:05 [info] 991#991: *380 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:57:38 [info] 991#991: *387 client timed out (110: Connection timed out) while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:58:13 [info] 990#990: *397 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:58:39 [info] 990#990: *400 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:58:50 [info] 990#990: *406 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:59:38 [info] 990#990: *409 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 19:59:49 [info] 990#990: *411 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 20:49:17 [info] 990#990: *414 client timed out (110: Connection timed out) while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 20:55:58 [info] 990#990: *417 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 20:56:54 [info] 990#990: *419 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 20:57:54 [info] 990#990: *427 client timed out (110: Connection timed out) while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 20:58:21 [info] 990#990: *430 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 20:59:24 [info] 990#990: *436 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:00:24 [info] 990#990: *438 client timed out (110: Connection timed out) while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:00:42 [info] 990#990: *441 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:01:43 [info] 990#990: *443 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:05:43 [info] 990#990: *447 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:13:18 [info] 990#990: *450 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:18:59 [info] 990#990: *453 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:20:49 [info] 990#990: *458 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:23:03 [info] 990#990: *462 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:24:13 [info] 990#990: *465 client timed out (110: Connection timed out) while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:25:15 [info] 990#990: *470 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:25:53 [info] 990#990: *472 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
2018/10/03 21:26:26 [info] 990#990: *474 client closed connection while waiting for request, client: 127.0.0.1, server: 0.0.0.0:85
